Make,Model,Total_Accidents,Total_Fatalities,Total_People_Aboard,Fatality_Rate
PIPER,PA 24-250,15,6.0,32.0,0.1875
MOONEY,M20R,15,4.0,23.0,0.17391304347826086
Cessna,P206,15,6.0,40.0,0.15
Cessna,320,15,3.0,21.0,0.14285714285714285
PIPER,PA-22-135,15,4.0,30.0,0.13333333333333333
Cessna,A150M,15,3.0,23.0,0.13043478260869565
Cessna,150C,15,3.0,24.0,0.125
SIKORSKY,S76,15,11.0,90.0,0.12222222222222222
HUGHES,269C,15,3.0,25.0,0.12
Douglas,DC-3C,15,11.0,101.0,0.10891089108910891
PIPER,PA-22,15,3.0,29.0,0.10344827586206896
Aeronca,7BCM,15,2.0,22.0,0.09090909090909091
Aerospatiale,AS350B,15,4.0,56.0,0.07142857142857142
ROCKWELL INTERNATIONAL,S-2R,15,1.0,15.0,0.06666666666666667
Aeronca,15AC,15,1.0,24.0,0.041666666666666664
PIPER,PA 28-161,15,1.0,31.0,0.03225806451612903
CESSNA,172G,15,1.0,32.0,0.03125
CESSNA,182J,15,1.0,33.0,0.030303030303030304
Piper,PA-32R,15,1.0,38.0,0.02631578947368421
Bell,206-L4,15,0.0,39.0,0.0
Piper,PA-31P,14,15.0,23.0,0.6521739130434783
BEECH,B36TC,14,15.0,25.0,0.6
BEECH,1900,14,62.0,104.0,0.5961538461538461
Cessna,525,14,20.0,43.0,0.46511627906976744
Cirrus Design Corp.,SR20,14,12.0,26.0,0.46153846153846156
AIR TRACTOR,AT802,14,7.0,16.0,0.4375
Fairchild Hiller,FH-1100,14,12.0,29.0,0.41379310344827586
Beech,BE-55,14,12.0,30.0,0.4
Beech,N35,14,10.0,27.0,0.37037037037037035
CESSNA,441,14,17.0,48.0,0.3541666666666667
CESSNA,182R,14,7.0,22.0,0.3181818181818182
Beech,D95A,14,8.0,27.0,0.2962962962962963
CESSNA,421,14,9.0,31.0,0.2903225806451613
Grumman American,AA-1C,14,6.0,25.0,0.24
Lake,LA-4,14,6.0,26.0,0.23076923076923078
CESSNA,182H,14,7.0,31.0,0.22580645161290322
AERO COMMANDER,S2R,14,3.0,14.0,0.21428571428571427
Cessna,180B,14,6.0,29.0,0.20689655172413793
Ryan,ST3KR,14,4.0,24.0,0.16666666666666666
